condition_concept_id,observation_concept_id,condition_concept_name,observation_concept_name,concept_seed_1,concept_seed_2
320128,320128,Essential hypertension,Essential hypertension,2,0
45879404,45879404,Never smoker,Never smoker,2,0
320128,320128,Essential hypertension,Essential hypertension,117,0
46272450,46272450,Long-term current use of drug therapy,Long-term current use of drug therapy,182,0
4193704,4193704,Type 2 diabetes mellitus without complication,Type 2 diabetes mellitus without complication,364,0
21494995,21494995,Pain assessment [Interpretation],Pain assessment [Interpretation],6,4
432867,432867,Hyperlipidemia,Hyperlipidemia,5,4
46272450,46272450,Long-term current use of drug therapy,Long-term current use of drug therapy,6,2
4144111,4144111,Gastroesophageal reflux disease without esophagitis,Gastroesophageal reflux disease without esophagitis,286,0
442077,442077,Anxiety disorder,Anxiety disorder,6,0
312437,312437,Dyspnea,Dyspnea,9,7
43054909,43054909,Tobacco smoking status,Tobacco smoking status,7,1
201826,201826,Type 2 diabetes mellitus,Type 2 diabetes mellitus,7,0
4193704,4193704,Type 2 diabetes mellitus without complication,Type 2 diabetes mellitus without complication,6,1
201826,201826,Type 2 diabetes mellitus,Type 2 diabetes mellitus,468,0
4137274,4137274,Discharge to establishment,Discharge to establishment,6,5
436096,436096,Chronic pain,Chronic pain,7,4
436096,436096,Chronic pain,Chronic pain,390,0
903652,903652,Findings of tobacco or its derivatives use or exposure,Findings of tobacco or its derivatives use or exposure,7,2
45883458,45883458,Former smoker,Former smoker,7,6
36311244,36311244,Oxygen therapy,Oxygen therapy,10,0
439777,439777,Anemia,Anemia,11,5
439777,439777,Anemia,Anemia,546,0
36305168,36305168,Smokeless tobacco status,Smokeless tobacco status,8,6
3034263,3034263,Pain severity - Reported,Pain severity - Reported,13,6
432867,432867,Hyperlipidemia,Hyperlipidemia,195,0
442588,442588,Obstructive sleep apnea syndrome,Obstructive sleep apnea syndrome,299,0
37311059,37311059,Exposure to SARS-CoV-2,Exposure to SARS-CoV-2,9,1
36307819,36307819,Former user,Former user,8,2
77670,77670,Chest pain,Chest pain,9,7
438485,438485,Postoperative state,Postoperative state,936,0
140673,140673,Hypothyroidism,Hypothyroidism,8,7
4203942,4203942,Admitting diagnosis,Admitting diagnosis,1625,0
40772145,40772145,Do you ever drink alcohol - including beer or wine [Reported.PHQ],Do you ever drink alcohol - including beer or wine [Reported.PHQ],10,3
312437,312437,Dyspnea,Dyspnea,156,0
434613,434613,Generalized anxiety disorder,Generalized anxiety disorder,18,13
37311059,37311059,Exposure to SARS-CoV-2,Exposure to SARS-CoV-2,468,0
313217,313217,Atrial fibrillation,Atrial fibrillation,728,0
436070,436070,Vitamin D deficiency,Vitamin D deficiency,16,15
440383,440383,Depressive disorder,Depressive disorder,11,1
313217,313217,Atrial fibrillation,Atrial fibrillation,16,9
440383,440383,Depressive disorder,Depressive disorder,312,0
437663,437663,Fever,Fever,17,13
4170554,4170554,Hip pain,Hip pain,29,6
77670,77670,Chest pain,Chest pain,234,0
4108442,4108442,Nitrous oxide concentration,Nitrous oxide concentration,17,2
